,ingredient,class,reason,int_label,prompt
295,horseradish extract,not harmful,"Horseradish extract is generally considered safe for consumption and is often used in small amounts as a flavoring agent in culinary dishes. It may even have potential health benefits, such as anti-inflammatory and antibacterial properties.",2,"Ingredient: horseradish extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
296,hot pepper extract,controversial,"Hot pepper extract can be considered controversial because while it may have health benefits such as pain relief and antioxidant properties, consuming large amounts can lead to digestive issues and skin irritation in some individuals.",0,"Ingredient: hot pepper extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
297,hot pepper juice solids,controversial,"Hot pepper juice solids can have both positive and negative health effects. On one hand, they may provide benefits like antioxidant properties and potential pain relief. On the other hand, consuming large amounts can lead to gastrointestinal issues and irritation. More research is needed to fully understand the overall impact on human health.",0,"Ingredient: hot pepper juice solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
298,hydrochloric acid,harmful,"Hydrochloric acid is a strong corrosive acid that can cause skin burns, eye damage, respiratory irritation, and gastrointestinal issues if ingested. Exposure to high concentrations can be extremely dangerous to human health.",1,"Ingredient: hydrochloric acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
299,hydrogen peroxide,controversial,"Hydrogen peroxide can be harmful if ingested or inhaled in high concentrations, but it is commonly used in low concentrations as an antiseptic and disinfectant for minor cuts and wounds.",0,"Ingredient: hydrogen peroxide
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
300,hydrogenated hydrolyzed starch,harmful,"Hydrogenated hydrolyzed starch is a type of trans fat that has been linked to an increased risk of heart disease, stroke, and other adverse health effects. Consumption of trans fats should be minimized to protect cardiovascular health.",1,"Ingredient: hydrogenated hydrolyzed starch
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
301,hydrolyzed animal protein,controversial,"Hydrolyzed animal protein can be controversial as some studies suggest potential health risks due to the presence of allergenic compounds and concerns about the sourcing and processing methods. However, more research is needed to determine its overall impact on human health.",0,"Ingredient: hydrolyzed animal protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
302,hydrolyzed cereal solids,controversial,"Hydrolyzed cereal solids can be a source of MSG (monosodium glutamate), which has been linked to potential health concerns such as headaches and allergic reactions in sensitive individuals. However, more research is needed to fully understand the impact on human health.",0,"Ingredient: hydrolyzed cereal solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
303,hydrolyzed collagen,not harmful,"Hydrolyzed collagen is generally considered safe and has been shown to have potential benefits for joint health, skin elasticity, and muscle mass. It is often used in dietary supplements and skincare products.",2,"Ingredient: hydrolyzed collagen
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
304,hydrolyzed corn protein,controversial,"Hydrolyzed corn protein may contain glutamate, which is a common trigger for reactions in individuals sensitive to MSG. However, more research is needed to determine the extent of its impact on human health.",0,"Ingredient: hydrolyzed corn protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
305,hydrolyzed corn starch,controversial,"Hydrolyzed corn starch can be a source of MSG (monosodium glutamate), which is a flavor enhancer linked to some health concerns like headaches and allergic reactions. However, the FDA considers it safe for most people in moderate amounts.",0,"Ingredient: hydrolyzed corn starch
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
306,hydrolyzed gelatin,controversial,"Hydrolyzed gelatin is controversial as some studies suggest potential health benefits like improved joint health and skin appearance due to its collagen content, while others raise concerns about its source and processing methods leading to potential allergic reactions or heavy metal contamination.",0,"Ingredient: hydrolyzed gelatin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
